Pair,p-value,Half-Life
CARR-ROP,0.0093958930887324,30.685877967185935
COIN-SYF,0.0073388621714921,30.68669112480763
DASH-COF,0.0018991123442133,30.860478923222484
BAC-COIN,0.0222333435058101,30.960662338997466
CTVA-VTRS,0.0047418423722033,31.016609322605422
CEG-PGR,0.0115684492912732,31.02102873938138
ROP-OTIS,0.0310286989281467,31.086378112154588
COIN-WDC,0.0263169586283784,31.220272316683467
OTIS-LOW,0.0086895518849341,31.339091677271547
ROST-UBER,0.0084519130878891,31.381209523298626
CEG-TJX,0.0347556274814983,31.440141022338793
GOOGL-CARR,0.0135537843135885,31.515281815878684
MSCI-OTIS,0.028194193657686,31.752746686481583
GOOG-CARR,0.0139406981461537,31.780857067950144
OTIS-IT,0.0072861199943984,32.05354544743637
CEG-COR,0.0322346124590848,32.20015240658093
CEG-WRB,0.0455418119175323,32.2408131205847
SHW-CARR,0.0130626856506564,32.40345127535893
HD-CARR,0.0070270293535348,32.50959728920434
CARR-MPWR,0.0348988009232073,32.562514751272516
IR-MLM,0.0048503821791348,32.65449973480223
WSM-KKR,1.1625009170350997e-06,32.86443955087848
INVH-POOL,0.0018693622879821,32.93264660279178
BR-CRWD,0.0063629257549811,33.424999479294605
HD-OTIS,0.0119086498227324,33.58854807359546
OKE-HPE,0.0001443310873511,33.63505820009799
OTIS-HPE,0.0371949282122096,34.233343473776394
CEG-C,0.0301139409568111,34.24632336313494
ALGN-CZR,2.496517669228831e-06,34.36375552442015
VMC-OTIS,0.0448514617520655,34.402489639471824
CEG-CBRE,0.0173014452031746,34.65907381825705
HCA-ADI,5.8755783768490805e-05,35.047166466112415
CARR-SPGI,0.0237500218426073,35.18862872427238
DELL-PHM,0.0326277440752232,35.3580832070244
DELL-CL,0.0445225366027912,35.38281265263648
GWW-PANW,0.004680816954981,35.45185504566368
JNJ-INVH,0.0037553679919709,35.66165809248772
MRNA-EPAM,0.002878548194487,35.716214917034875
DVA-CRWD,0.0102033404485506,35.77426732855286
CARR-SYK,0.0224719400030373,35.80545160825608
COST-PANW,0.0113071560495556,35.906487432589
VICI-TXN,0.001725281168823,35.92120533552176
CEG-NWSA,0.0321592433588155,35.937983917188824
PANW-KLAC,0.0002832233138701,35.96825913518597
NWS-CRWD,0.0110928252097387,35.97658768988114
DASH-BLK,0.0124386867168155,36.01593856914301
VICI-DE,0.0003232975602393,36.03578408998404
WSM-CRWD,0.009290830926487,36.16176355244865
CARR-VMC,0.0214003623704568,36.22927826506006
ICE-CEG,0.007958966433898,36.3212777920959
CARR-NTAP,0.0159321470823781,36.33898156452621
VICI-HSIC,0.002212959312001,36.34387271365255
OTIS-NTAP,0.0174552495606629,36.72233501015765
