Pair,p-value
CTAS-CBRE,0.015231560991392609
ICE-EMR,0.01523374245173435
AMAT-VRTX,0.015237537616507004
GOOG-NXPI,0.015238969603433045
NSC-A,0.01524739944366551
CMG-IR,0.01526105669993906
IRM-PGR,0.015262180622979203
FFIV-FOXA,0.015270128037014734
WMT-ETN,0.015276407074886424
ZBH-AKAM,0.015281350593500418
DGX-BX,0.015286965275885684
DUK-CHD,0.015296153410586613
SBAC-TROW,0.015302265143403588
EBAY-GEV,0.015303415044687341
NSC-HOLX,0.015305383676437289
COIN-DPZ,0.01531625213115556
ED-CBOE,0.015333855454696467
TSLA-TDY,0.015336989596766817
BBY-PAYC,0.015339637446803082
SCHW-ISRG,0.01534484623797062
SBUX-DLR,0.0153512107165687
ECL-DTE,0.015353533185973638
MDT-NKE,0.015362148801843837
GPC-EG,0.015367621846331564
ITW-ERIE,0.015385460176010092
DRI-DGX,0.015397388468615528
TTD-NDSN,0.01540240468789893
ZTS-HON,0.015405664781140988
DUK-AON,0.015411284492446711
SYY-STE,0.015414166733622938
CDNS-ORLY,0.015414733549707911
BLK-CB,0.01541541703506962
BRO-QCOM,0.015416230947587269
NSC-CSGP,0.015418399618273107
AMD-INTU,0.015425448956651256
TMO-QCOM,0.015440266350849632
ROK-COO,0.01545329100989716
SYY-TMO,0.015455271740562401
ROK-ULTA,0.015456712573995349
IQV-TXN,0.01546769837425654
ABBV-ADP,0.015470258485469185
TSLA-MCO,0.01547570147254768
LHX-LH,0.015476213804414425
LYV-J,0.01547655499702188
TEL-LYV,0.015481847992670479
VRSN-ZBRA,0.015486548151969681
CINF-COF,0.015486966636635796
MCO-SHW,0.015491204960081075
PAYX-MPWR,0.015492629520782182
AON-ACN,0.015495964798992214
NTRS-GL,0.015510711248141986
IRM-PANW,0.015530729000067935
KEYS-TMO,0.015531431777279222
CMI-EFX,0.015537260194692102
WRB-LII,0.015543140051480482
NVR-DE,0.01556425291382741
TER-LOW,0.01556615952631184
WTW-FDS,0.015570316994594807
CSX-JKHY,0.015572310718090841
CBRE-BSX,0.015577143394838164
AMGN-CB,0.015584832036080739
NWS-COF,0.015599013801244102
MSI-PGR,0.015602989836422514
BRK.B-SPGI,0.015606525513530577
SWK-CAG,0.015614851423008292
IT-ON,0.015619700015100076
AMD-AXP,0.015631153072243605
RMD-TRMB,0.01563866569118661
YUM-WEC,0.015643085992867813
PAYX-QCOM,0.01564344843260764
IFF-BIIB,0.01564618761990992
ATO-DRI,0.015658707586897386
CEG-PH,0.015662925045113126
AMGN-ADP,0.01566875279822251
WM-EMR,0.015669760867290692
MDLZ-DGX,0.015677403032069135
XEL-RMD,0.015677751910211264
ROK-BLK,0.01567930836174819
PPG-INCY,0.01568317695249262
ZTS-CSX,0.015686224938456967
TGT-NEE,0.01569280050601454
SHW-CHD,0.015693931893946102
ED-SCHW,0.015694982160911423
BRO-APH,0.015701534029653512
FDX-MCHP,0.015702645340060592
GOOGL-BR,0.01570641141569405
PNC-DLR,0.015710241379236583
REGN-NXPI,0.015711051861927547
ALL-CBRE,0.015725014856621145
AAPL-TTD,0.015733583587695707
TDG-KLAC,0.015740665436066396
INVH-TER,0.015746994879363835
RMD-CHD,0.01575104224080161
OMC-AMGN,0.015753277906631225
FDX-MTB,0.015756460671893128
RMD-ERIE,0.015766001147034657
HCA-AMP,0.0157686477623151
MAR-KR,0.015780976790060405
CDW-PARA,0.015794179676431614
NOC-MLM,0.01579569180811926
PSA-WAT,0.01579616421933734
APD-XEL,0.01579656315908051
ADSK-PEG,0.0158022100779398
AEP-XEL,0.015805782309572438
LII-BKNG,0.015816512731711738
MAR-NDAQ,0.015826424135967538
GWW-DHI,0.01584610268076262
LMT-ROP,0.015850066506876755
NSC-ED,0.01585602076751226
TGT-SBAC,0.015858723562652135
CDNS-SNPS,0.015870437490164913
ITW-JKHY,0.015874015130625033
RMD-AMGN,0.015874177485945284
MAR-SPGI,0.015874833966231055
STLD-PANW,0.01587822551261316
CSX-CSGP,0.01588843801415005
DAL-GILD,0.015913304346817418
NDAQ-DRI,0.015919876395043005
CARR-NTAP,0.015932147082378143
PHM-PANW,0.015938090233624552
MET-PKG,0.015954444750547
STX-ISRG,0.01597671623080044
KO-MCD,0.015983037486174318
CPRT-QCOM,0.016004713083546986
ED-IEX,0.01601080784333076
JNJ-HOLX,0.016011208785340587
PNC-SCHW,0.016014004035959213
CHD-DPZ,0.0160180087423577
INVH-WST,0.016018063842522696
MNST-HON,0.01602156425941856
ROP-DGX,0.01603573791024818
SRE-JBHT,0.016040861643942573
ELV-ODFL,0.016044956935250713
TER-SCHW,0.01605720736105745
AMT-NKE,0.016058496898092103
LYV-ERIE,0.016065513189232963
DECK-CB,0.016074349016322438
MKC-UNP,0.016076979580852087
RSG-PGR,0.016091865970343497
LH-AMGN,0.016093254995642
FDX-DTE,0.016093280606392497
VLO-PFG,0.016107678407771414
PNC-ITW,0.016110654415424593
JKHY-UNP,0.016119327414962192
MSCI-LH,0.016121121603567632
COR-WAB,0.016138491050199155
NSC-JKHY,0.016145668924549716
PPG-APTV,0.016159484147547594
DLTR-GL,0.016166958172751652
FTNT-TPL,0.016167122172268195
NSC-PEG,0.01616872242642582
MNST-SCHW,0.016171147281775967
TYL-NVR,0.016197411993295545
PG-ODFL,0.01619978806950302
PEG-MLM,0.016204936232562837
PEG-VMC,0.016205164964290867
ALL-ROL,0.01620686007299461
NXPI-LOW,0.01620841149878449
NWS-KKR,0.016211579150914583
CEG-HUM,0.016213465624697512
UDR-MDT,0.01622746174937622
CSX-EFX,0.016236650082206757
SBUX-WDAY,0.016236767393719407
CDNS-PANW,0.01624046689359703
PNC-AWK,0.016248108991712255
RJF-TSCO,0.016252984531721984
ITW-LNT,0.01625942230948997
GPC-WAT,0.01628905821950678
CVS-INCY,0.01630570286971555
HD-ALL,0.016314877196394083
EW-VRSN,0.01631973422484707
MA-ERIE,0.016322833420457296
PKG-TXN,0.016330210032043713
EQIX-SCHW,0.016337784708566352
STLD-LRCX,0.01635697605614447
PAYX-EFX,0.016367372658919827
ICE-PTC,0.01638375996535603
DTE-SCHW,0.01638835884130882
EBAY-HON,0.01641520874265006
AAPL-TSLA,0.01643973481012816
HD-XEL,0.016471296284731738
TEL-TRV,0.016474728132142014
MCHP-WTW,0.016480746308279424
SYY-ATO,0.01648463032639656
AFL-SNPS,0.016490075622146813
MLM-SPGI,0.016505679114746225
ROK-TDY,0.016545416137661233
XEL-STE,0.01654695682122218
ELV-HOLX,0.016551230019285185
PLD-EXPD,0.016564332559153475
V-DGX,0.016575021934759987
KDP-VRSN,0.01657603418258355
XEL-SCHW,0.016584497275495783
MET-CB,0.01660057474155483
PPG-EPAM,0.016603826961461152
ALL-EBAY,0.016611774192829436
TSLA-WM,0.01662054809330066
PRU-OMC,0.016645512148406823
MDLZ-TER,0.01665299187448004
REGN-NDSN,0.016655156084840157
JNJ-EXPE,0.0166695482001486
DRI-SCHW,0.01668519832293289
MCO-PGR,0.016697055236310106
ICE-WRB,0.01670421504768894
WST-TECH,0.01670461579673468
ZTS-DXCM,0.016704909368480028
ITW-PKG,0.016705001985175914
BBY-RVTY,0.016708660124395452
BBY-RVTY,0.016708660124395452
PRU-DD,0.016709006612832148
NTRS-CINF,0.016712010624320914
SRE-UNP,0.016715295044384043
AMZN-DHI,0.01672079571065033
BR-MAS,0.016724877119366034
APD-MKC,0.016726448892161166
ROP-XYL,0.016732806201726742
LHX-IEX,0.016755263966888055
TPL-LDOS,0.016780187411859365
EOG-GIS,0.01678071470660909
WDAY-TXN,0.016786025730186817
EXR-CHRW,0.01679052967023677
ZBH-MKTX,0.016793665326328852
VRSK-LYV,0.01680623139635695
ABBV-CPRT,0.01681362006651496
V-MA,0.016829339534714566
REGN-CHD,0.016833340617911766
HCA-J,0.01683499383967659
ULTA-CHRW,0.01683845606132904
COST-SNPS,0.016843569972227773
AME-ROK,0.016847873032158144
ALL-TYL,0.01684987386645261
RMD-UNP,0.016868410228684405
WRB-TPL,0.016869290315970748
FDX-MAA,0.016880281706972772
DLTR-MAA,0.016882062920998198
STX-SNA,0.01688764322865126
APO-AZO,0.016894591006243236
PG-ERIE,0.016895223530870324
DE-LOW,0.016897968410387237
BDX-MKC,0.016899643596813778
PEG-SCHW,0.016902337191989057
BRK.B-EFX,0.01690508006816367
EXPD-NEE,0.016909238641684546
XEL-EBAY,0.016917891852870594
WDC-CTRA,0.016923053385567474
EFX-VRTX,0.016943623145427737
NOC-WTW,0.016954641528184686
JBHT-NEE,0.016960746681539244
SO-HUBB,0.01696513084493692
JKHY-AOS,0.016969039610919206
SYY-TXN,0.016969301525275753
EQIX-CMI,0.016969354597255508
BR-ERIE,0.016977163750694576
BRK.B-CMI,0.016977870401694885
NTRS-MAA,0.016979371492015324
CMG-PHM,0.016980771062462537
LYV-MU,0.016982917111989196
ODFL-A,0.016999781214268872
CHD-ULTA,0.01700444405106487
ICE-PAYX,0.017006088064643318
ITW-NDSN,0.017018121905870175
MPWR-SYK,0.01702508466585922
BALL-MDT,0.01702791144070935
WTW-LH,0.01703580770109769
SO-TRV,0.01703637708095176
MSI-URI,0.017040701790371694
GOOG-TEL,0.01705285929972525
PSA-EMN,0.017059508464624826
TRMB-NEE,0.017064055896501427
CI-A,0.017068945543709912
ERIE-BX,0.0170842964934543
DUK-ADI,0.01709669403805249
MDLZ-DLTR,0.01710642174838505
SPGI-VRTX,0.0171078744290251
ERIE-J,0.01712403219827461
XEL-SBAC,0.017124689075020808
ROST-PKG,0.017136259175850422
NTRS-DRI,0.017140641336158134
AJG-CBRE,0.01714071310757643
AEP-ROL,0.017153673649723252
AFL-ADI,0.017155394515848035
TROW-MKTX,0.017163202749823903
PCAR-BRO,0.01717083121702385
MCHP-ULTA,0.01717669098758327
HCA-PANW,0.017179043011927287
MAS-SCHW,0.017188890237563693
PEG-ALLE,0.017189356836775024
YUM-DTE,0.01719164322123815
PODD-NEE,0.017194260521939165
EG-NDSN,0.017209484512870386
PAYX-BRO,0.01722523208594401
CBRE-RJF,0.017241717350949277
HD-DDOG,0.017248472153141892
BIIB-EMN,0.0172492596050973
BRK.B-NFLX,0.01725090885079949
TEL-NDAQ,0.01727149465531253
HOLX-IEX,0.017272122086615074
ECL-CMI,0.017285956260795887
MDLZ-LH,0.01728850312682845
MSCI-RMD,0.017293319233132817
CEG-CBRE,0.017301445203174667
GOOG-SO,0.0173059486448507
A-IEX,0.017312057334385792
SCHW-VRTX,0.017314500816220733
MAS-ADI,0.017317193030564112
CINF-TJX,0.017321966651599824
CDW-AMGN,0.01732929854930805
TTWO-SPGI,0.017338588452001785
SRE-DPZ,0.01734219009356479
DXCM-IQV,0.017345513933848724
GOOGL-AZO,0.01735244279602828
CTSH-PNW,0.017356482524408526
TYL-STE,0.017367466215954863
EMR-DHI,0.017367954384603826
AEP-ALLE,0.01736827970122506
EW-PAYC,0.017368803496692595
MCO-BR,0.01736889271845945
MDLZ-TXN,0.017371102411887496
COST-CBRE,0.017378832854257027
TTD-ACN,0.017391990805046213
LH-ALLE,0.01739659330131921
PG-MLM,0.017410665087043628
TTWO-ROL,0.01743610121358471
EXR-NDSN,0.017439727602814235
BRK.B-KKR,0.01744519563030985
ROL-SNA,0.01744639687650259
JKHY-RVTY,0.017448880632898848
JKHY-RVTY,0.017448880632898848
KEYS-LNT,0.017450154651212652
APD-DGX,0.017453595925834866
OTIS-NTAP,0.01745524956066299
VMC-PTC,0.017457042140763275
V-LYV,0.01746228581454179
MDLZ-SRE,0.017464541313261424
DUK-RJF,0.017468155253954187
PLD-RMD,0.01748232297907228
SMCI-ANET,0.017485335320685216
DUK-LNT,0.01748744627929741
RJF-LRCX,0.017492852022421068
MKC-ADBE,0.017494613030320665
ED-HOLX,0.01749481001168103
NVR-LDOS,0.017497824028471252
TTD-STE,0.01750037929509276
REGN-IEX,0.017520583810361572
KMB-CLX,0.01752343267499335
SYY-VRSN,0.017528051609678803
CI-PTC,0.017534137508299505
EMR-KR,0.017534164661739186
ULTA-PFG,0.017546622229594074
GPN-NKE,0.017547311262359436
NXPI-DVA,0.017550309896016955
JNJ-DGX,0.017550619560829567
VLO-EFX,0.017570133219283992
RSG-KLAC,0.01757274163456474
LHX-TYL,0.017575507394478617
MET-DHI,0.017576941888888607
ELV-ON,0.01758713317267695
APD-DHR,0.017587515478393042
DXCM-ZBRA,0.017593791080041377
EOG-OKE,0.017594706612565823
KMB-EMN,0.017596841628273335
RSG-LDOS,0.017597844205784315
KMB-COO,0.017599210092401722
BKNG-WELL,0.01761248461338112
MTB-LNT,0.017613749340547567
REGN-STZ,0.01762092443428071
HD-PNC,0.017624709244065246
AIZ-SYK,0.01763456086841722
EW-AKAM,0.017644369927629616
LYV-LDOS,0.0176569622432633
AEP-CPAY,0.017669543304104397
BRK.B-SCHW,0.01768186956975454
SBUX-REGN,0.017682838834749543
COIN-ADSK,0.017693138894639974
AMT-UNP,0.017703278779215303
WDAY-VRSK,0.017717580034269296
XYL-GL,0.017729884120064713
PG-DRI,0.017734395341244092
DLR-WEC,0.017737975992806514
WEC-JBHT,0.01774492697690421
CINF-DGX,0.017746919326883253
NSC-UNP,0.01776069411219013
LHX-MKC,0.017763792717518417
AMZN-ADP,0.0177688700062298
NDAQ-DE,0.017773007236647338
TSN-HAS,0.01779142748742172
ECL-WDAY,0.017792119838289724
RMD-ROL,0.017793097728810377
MNST-LOW,0.01779737740629122
VMC-SCHW,0.017797873388730373
PEG-EXPD,0.017799875681495388
PG-ON,0.0178005878231689
STE-WST,0.017809040143770737
MSI-WSM,0.017819907527811606
LMT-COO,0.017825116275182202
AON-WRB,0.017827187204145636
BR-ADP,0.017838543141007232
EW-JKHY,0.017842261835800385
SO-EBAY,0.0178466865089323
WM-SYK,0.017846830497364158
V-SO,0.017848800499315594
WAT-MOH,0.01785468505187564
COST-AFL,0.017856717830893206
CINF-LNT,0.017866962117531568
AWK-NDSN,0.01786888977655498
CINF-ISRG,0.017875884403585018
PKG-SNA,0.017878227709129106
NVR-SPGI,0.017898710327987857
DHI-BX,0.017909820377829077
CSGP-ZBRA,0.017940514468302728
MCHP-ROL,0.017942073368825518
WRB-PANW,0.017945576273413543
LHX-TTWO,0.017956190000306845
CTSH-SJM,0.017960384319547645
TPL-BKNG,0.017971555989210568
SYY-EG,0.017972028228120832
JNJ-AWK,0.01797946626837769
ZBH-INCY,0.01799049532433865
EW-MTD,0.01799755882820699
HCA-PAYX,0.017997623458756322
HIG-BX,0.01800482445779808
BRK.B-HCA,0.018008554173255312
ELV-IPG,0.018009007828547374
NOC-ROL,0.018009646623073004
FOX-WELL,0.01801926727343223
EMR-AJG,0.01802198206820575
CTAS-ORLY,0.018028571673772024
ABBV-ALL,0.01804407034321393
ADM-ON,0.01804447168656237
FDS-HOLX,0.0180541449421822
ICE-MAR,0.01805577468612704
AAPL-ADP,0.018059836237765258
FDX-ROST,0.01806631503034144
DECK-QCOM,0.018067780656090847
DLTR-CNC,0.018071891817033878
MNST-RMD,0.018078504618526444
DUK-GD,0.018082173475748073
ADSK-WDAY,0.018087526192607863
PCAR-TJX,0.018087738433969536
PSA-JBHT,0.01809294813610397
PG-MNST,0.01810036848486067
NUE-QCOM,0.01810945538954608
LYV-SYK,0.01810983574421145
VLTO-LDOS,0.018113746137076208
DLR-DGX,0.01811957366789874
TDY-TYL,0.018120666621711384
YUM-CINF,0.018127211919372894
ADSK-AWK,0.01812848228453146
HSY-TMO,0.018148100411575187
MTB-DTE,0.01814861057255104
MMC-WTW,0.018151301415083237
SNA-ANET,0.01817262960660643
TYL-DRI,0.01818184796774606
GM-CFG,0.018185602835038703
SHW-MCHP,0.018188756789475787
BRO-IT,0.018189870227666195
MDLZ-DXCM,0.01819290385559163
EW-TECH,0.01819529125132234
ICE-LH,0.01820867317444044
ELV-IQV,0.018217009959120987
PNC-LH,0.018220044488750097
TDY-TXN,0.01822181323317286
AFL-TJX,0.018222204627725575
MET-L,0.018227866180953636
CARR-IRM,0.0182409075298017
A-CHD,0.018247564111408664
DUK-MDLZ,0.018260405012566847
APO-GWW,0.018270138132106067
AWK-MTD,0.01827157944807329
GOOG-DHI,0.018272753657230693
MDLZ-HOLX,0.018273346278422618
CL-CMI,0.01827648012772056
APD-PODD,0.018280972360278425
EQR-SJM,0.018296072491420037
AAPL-MMC,0.018297056991635603
VRSN-ADP,0.018300677685835064
FDX-IEX,0.01830922765989375
TRMB-BLK,0.018314278020401847
HCA-WRB,0.01831963654721563
IDXX-ZBRA,0.018326018032627914
MNST-EG,0.018331590919896324
PNC-AEE,0.01833360771110286
BRK.B-RSG,0.018349690257037313
TEL-ADP,0.01835227173311047
CHD-QCOM,0.01835692931382345
AAPL-LDOS,0.018358355564738665
SYY-KEYS,0.018362401692622123
ODFL-PTC,0.01837130479960845
JCI-PTC,0.018379328584957937
ETR-FOX,0.018379862405569575
AMT-CSX,0.018384344332264456
ROL-AIZ,0.0183868183147181
TEL-COF,0.018387987862099116
SYY-TYL,0.018397430079867057
PLD-ELV,0.018401257423987447
CPRT-MU,0.018427201799226658
DTE-EXPE,0.018451812251234122
DRI-TJX,0.01845351976861256
ADSK-LNT,0.01845478082257445
PG-CMI,0.0184555939128695
MSCI-LRCX,0.018458072037156048
BRK.B-ROK,0.018463392874782273
ADSK-XYL,0.018491312103802338
BBY-TMO,0.01849277787465563
TPL-BSX,0.01849386872201083
SCHW-AMGN,0.018493929175929454
PG-ROST,0.018498649583947646
LHX-ACN,0.01850176382984216
ROK-LOW,0.01850672478247948
TSLA-EBAY,0.018513448190895166
ABBV-PEG,0.018524613065586643
NFLX-CEG,0.018540471408420686
MOH-TECH,0.01855954287547614
ABBV-NVR,0.018559970151383647
SO-TRMB,0.01856186044223565
EVRG-HON,0.018568038238553432
CI-ATO,0.018571913110196493
ABBV-URI,0.018579771870805818
AMT-ZBRA,0.018598266809824966
ICE-DPZ,0.01860748188784432
AWK-DPZ,0.018608584625686833
IDXX-QCOM,0.018614664986438906
NDAQ-AIZ,0.018616836721996485
BBY-DHR,0.018621178554699802
TMO-TXN,0.018621286196992076
PNW-AOS,0.018624804604137384
CSGP-VRSN,0.018647033440246978
A-UNP,0.018648005712969772
USB-UHS,0.018663633335041476
EMR-IRM,0.018665552007169673
NTRS-EVRG,0.018668937747113
CBRE-BRO,0.018678739586131695
TEL-AIZ,0.018685836095767364
DUK-YUM,0.018698688269254488
MET-ACGL,0.018700449380064477
QCOM-TXN,0.018705757342140632
TMUS-LIN,0.018706639599066443
ADSK-QCOM,0.018707730679562794
MDLZ-AON,0.018708353928742004
TSCO-ADP,0.018712786420414865
DHI-MU,0.01871397339977165
DHI-DE,0.018714955108293754
URI-SMCI,0.018717784604978114
LHX-AIZ,0.018724699060301046
TRV-PNR,0.01872620927629572
SPGI-MU,0.018731935450501357
ICE-COF,0.018732817458061938
AON-TEL,0.018737226872245844
TDY-CINF,0.018768878912645223
VLO-DHI,0.018771701090254802
LYV-VRTX,0.01877870662491618
CME-NTRS,0.01878583320666625
EQIX-SPGI,0.01879013653981997
MTB-HII,0.018810504896412977
DUK-PAYX,0.01881265825423122
VLTO-FE,0.018813916852891938
JNJ-ITW,0.018817762838211998
ES-NKE,0.018830150258461412
CI-VMC,0.01883471096432044
JCI-CBRE,0.018835378108534865
XEL-ROK,0.018867052773974803
ABBV-RSG,0.018871849545995842
AWK-BBY,0.018877865752227097
PAYX-AMAT,0.018880166183854023
RSG-VMC,0.018890793477889998
USB-BALL,0.01889095843398179
AWK-COO,0.0188940634670384
ES-TSN,0.018908066828810542
BRK.B-TSCO,0.018909464786056766
PLD-MTD,0.018909932717200477
WMT-APO,0.01891047073436972
PYPL-CHTR,0.01891877033196815
FAST-BKNG,0.018920975377615255
ZBH-UDR,0.018924148470881804
AEE-CINF,0.018934140430766477
VLO-CB,0.018938042852397852
SHW-DRI,0.018972490847128834
AEE-ULTA,0.018973182389326815
NXPI-PKG,0.01897947655239041
PNC-FDS,0.01898102432547863
CSX-TMO,0.01899378224441996
NSC-MNST,0.019003563794020083
WEC-FFIV,0.01902031985159492
INCY-HSIC,0.019022187088779605
STE-AIZ,0.019030582223553777
ITW-SYK,0.019032803461175175
PNC-MTD,0.019041385900833423
STX-BX,0.019042492874438467
PTC-DE,0.019044605116247715
CINF-NDSN,0.019045099959936643
AEP-ULTA,0.0190552056934078
NXPI-DGX,0.019084472026013058
MSFT-RSG,0.019096843783128124
MCHP-ED,0.01910143525202145
CDW-HOLX,0.01911854187662422
EQIX-FDX,0.019137050969818138
CI-NVR,0.01914291606679332
DASH-TTWO,0.019147611592220483
DHI-ADP,0.019153557842639835
VMC-ACGL,0.01916197749605278
ABBV-ROL,0.019173355486721253
HRL-CAG,0.019174863637897426
MCO-DE,0.019180104433688984
INCY-GILD,0.019193310895877922
GOOG-BRK.B,0.019199332633860235
CHD-TYL,0.019202550899986213
ALL-WSM,0.01920835117373636
LYV-TPL,0.019220326450387924
ODFL-ADI,0.019239929521214675
DUK-BLK,0.019239958472385757
OTIS-AMAT,0.019245826204142585
DTE-PKG,0.019253158561068778
DXCM-IEX,0.019254034516891935
ALL-HUBB,0.01926192353013129
PSA-HOLX,0.01926413006450387
LII-TPL,0.01928564472477916
TGT-WST,0.019296874121834826
CI-SCHW,0.019301685128655006
GM-EMN,0.01930662790659892
ABBV-AJG,0.01930821934177774
FAST-VRTX,0.019317891344176462
MLM-ADI,0.019325111111486326
PNC-PAYX,0.01932888843969607
BRO-COF,0.019332246094351833
IQV-NEE,0.01933733804112696
CEG-FAST,0.019347036963070073
EMR-PANW,0.01934897000508853
RMD-GL,0.019349717651381278
ABBV-FTNT,0.019352650467294348
BLDR-AMAT,0.019356135417003584
SYY-UNP,0.01936045590307162
WTW-J,0.01937233233472993
PAYX-STX,0.019379556927636314
ITW-NEE,0.0193948121137895
ROK-SYK,0.01939602561738073
SHW-CI,0.019415192174956103
AZO-LRCX,0.019427229317573787
CDNS-BRO,0.01942861466431241
A-DGX,0.019449239129827114
WTW-CRWD,0.019455413647519848
KMX-HSIC,0.01946079893299232
MNST-LH,0.019464124725195635
DUK-VRSK,0.019467330309911664
EXR-AMGN,0.019481044724420152
ITW-CSGP,0.01948551019601272
AAPL-ABBV,0.019485863671101427
XEL-EFX,0.019499110175852184
LHX-NDSN,0.019503752266390825
AZO-WSM,0.019511013155619632
VRSN-TMO,0.0195198726600292
URI-LRCX,0.019522667768143567
OMC-JBHT,0.01953368736287649
NSC-EXPD,0.019535879915177506
CI-DTE,0.019543554898087914
LII-LDOS,0.019544151740527625
MSCI-LOW,0.01955047712784076
WMT-STX,0.01956725936118696
CSX-CINF,0.01957509921490769
CL-HLT,0.019581499377132248
PPG-UHS,0.0195829641272773
PEG-TTWO,0.019584499742307745
AWK-UNP,0.019588092246543565
CEG-SPGI,0.01959591661309367
ROL-ISRG,0.01959713823108433
SYY-CINF,0.019617691008916825
TSLA-YUM,0.019620617156044216
TTWO-AEE,0.0196269288966246
TSLA-DDOG,0.019640084685880826
STX-BLK,0.019656415148502235
ALLE-HON,0.019666624054489087
OKE-K,0.0196739647546576
SRE-AOS,0.0196880934567253
YUM-KEYS,0.019690659454962782
CHTR-MDT,0.019704701109804153
NOC-TYL,0.019718835746247734
YUM-DPZ,0.019725574789745414
ALL-ROK,0.019726804831483796
APD-SRE,0.019729394935530938
SYY-HSY,0.019735446026497957
HD-LNT,0.019736397304478265
IDXX-SCHW,0.019737183101457362
NSC-PODD,0.01976057792565106
RJF-CINF,0.01976580980331759
MDLZ-VRSN,0.019770737044315218
HCA-AJG,0.01977935301675025
RMD-TPL,0.019786902229753354
BRK.B-IT,0.01978792264973502
MCHP-HUM,0.019789721235855057
CEG-ALLE,0.019792453843039053
APD-CINF,0.01979257770620769
CSGP-QCOM,0.019793711278196117
TGT-MCHP,0.019798842619752434
OMC-EG,0.01980114569140911
DGX-LNT,0.019803708917085664
JKHY-NDSN,0.01980744418614317
TSCO-WTW,0.019814269894311762
PEG-ERIE,0.019818623737843412
APD-EXPD,0.019818956871289834
ALLE-SYK,0.019824886252388096
MDLZ-WDAY,0.019846300967411284
PNC-UNP,0.01985626326715679
CEG-PWR,0.019856798615618374
OKE-CB,0.01985945507912614
VRSN-NTRS,0.019864160131047397
CEG-CBOE,0.019866683791531763
BDX-SYY,0.01987321341875469
IQV-MOH,0.019899810568850134
VMC-EFX,0.019904112186787424
DUK-QCOM,0.019904480742193698
HSY-GL,0.019904857319781876
ACGL-BLDR,0.019910363889916037
SBUX-HOLX,0.019917997081069744
APD-EXR,0.019922322091370095
MSFT-SNPS,0.019929518430765975
BRK.B-CINF,0.019957715176352524
AON-IDXX,0.01998159590721966
ED-EXPE,0.019984043075169683
SBAC-HON,0.019987632881706262
SO-LDOS,0.01999509640738348
FDX-PRU,0.020000474082019964
PLD-EW,0.020001500516916907
DLTR-EG,0.020005985085387996
WTW-COF,0.020017622901039582
TDY-TER,0.020028150025132762
DUK-ACN,0.02002843266776879
RMD-DRI,0.020033512044099505
PLD-APD,0.02003850223164085
HCA-CB,0.02003993881713222
SYY-ULTA,0.020043119800736135
SCHW-DE,0.020049812472209223
ISRG-AMAT,0.02006965646757565
ED-ROL,0.020069712651568553
TSLA-AME,0.020071607369535675
TSLA-ICE,0.020073032210043595
GOOGL-CINF,0.02007542505066112
DTE-FDS,0.020076534551698028
TSLA-JCI,0.020077067757194842
XYL-AIZ,0.02008428681830913
WTW-VRSN,0.020088299146639656
APD-HSY,0.02009701970008023
XYL-EXPD,0.020110069519534937
EW-SCHW,0.020115743289542604
QCOM-PGR,0.020117695871628156
CNC-KMX,0.020131745337261933
A-CMS,0.020135711371680486
WTW-EXPD,0.020136129053498247
PNC-SBAC,0.02013681941344772
MPC-HUBB,0.020152593030519108
ES-MDT,0.02015984799991485
AME-TTD,0.020165159087799884
WDAY-WAT,0.020170554933952978
MMC-CPRT,0.020170779918804733
CPRT-LOW,0.02019521232807034
ATO-SCHW,0.02020237817952709
FITB-BX,0.02021292784600212
TSLA-ROL,0.0202452756414526
AZO-BX,0.020256810005766575
PLD-DPZ,0.020299583285359912
TTD-ODFL,0.020314734054954927
DUK-BKNG,0.020318466719919256
DXCM-TDY,0.02032199637221618
MMC-RJF,0.02032957687509175
CMCSA-NKE,0.020336288323400994
REGN-AME,0.020336345549976206
OKE-FFIV,0.020336537107574926
MDLZ-VICI,0.020345619080883684
USB-COO,0.020348963433795657
PSX-EG,0.020352834635930808
MPWR-ADP,0.02035427250600003
CL-EMN,0.020356684253309193
AVB-K,0.020368547095490977
REGN-ED,0.0203698984285008
CINF-QCOM,0.020381668780717944
RJF-EFX,0.020383266020166255
CSGP-TER,0.020411028499730602
QCOM-TJX,0.020413744563728162
APD-MSCI,0.02042493136914317
NOC-SYY,0.020426655458604902
LHX-DRI,0.020459380705167757
MA-CEG,0.02046037680457447
EMR-RMD,0.020479272833372152
SBUX-KMX,0.02048232218177361
IRM-WELL,0.020493892517964803
MCO-AON,0.020512700515639064
MDLZ-A,0.020514541546733503
MTB-NI,0.02052087319724323
HIG-CBOE,0.020525407610781976
SBUX-AEP,0.02053077772119696
LLY-KKR,0.020532725393312908
CLX-COO,0.020553049255296753
MDLZ-DTE,0.020563577322036047
CI-IT,0.020564243665270137
FDX-KMB,0.020570169864133958
DGX-DE,0.020577070767181137
ABBV-TJX,0.020586461627994407
SBUX-EVRG,0.02059009359212262
CINF-NEE,0.02059917602552739
AME-ED,0.020601473699462743
TRV-PEG,0.020610575326073008
PG-BX,0.02061857790006058
EOG-CHRW,0.020620301731221768
VMC-ADI,0.02063718240110631
MPC-ACGL,0.0206559960439846
TTWO-RVTY,0.02066096878884058
TTWO-RVTY,0.02066096878884058
DECK-DE,0.020661745949499415
EXPE-HSIC,0.02066436855816563
