Pair,p-value
ITW-ROP,0.00012477466226283913
EQIX-WEC,0.00012485065062172536
HIG-ANET,0.00012706314461770113
EQIX-STE,0.00012782894458712726
MNST-EFX,0.00012810849454917203
SO-PCAR,0.0001298375289181693
MCHP-MTD,0.0001298948247513388
COST-CTAS,0.00013002916859557198
A-STE,0.00013048019226603573
APO-KLAC,0.00013065755967566292
EPAM-CRL,0.00013197270189626553
ORLY-HUBB,0.00013246253461841
DHI-TPL,0.0001329747099114157
AIZ-MU,0.00013369246735873063
MAR-TJX,0.00013443378848349916
ELV-MCHP,0.00013555603993302252
MCHP-WAT,0.00013567543839401825
WDAY-UNP,0.0001358601761628282
YUM-OTIS,0.0001402523210448424
SHW-VRSK,0.00014051876040820213
USB-HAS,0.00014053274750392157
EFX-CHD,0.0001415731098695089
ECL-ROST,0.00014248745843233051
PNC-LNT,0.00014400734728183052
BRO-ERIE,0.0001441852680326724
ED-ULTA,0.0001442172465598665
OKE-HPE,0.00014433108735118825
RSG-URI,0.00014519907549603799
TRV-SNA,0.00014548882455921769
ERIE-ADI,0.00014886243517339573
APO-PHM,0.0001489977619279725
AMZN-ADSK,0.00014947876010631516
RJF-BRO,0.00015021192776197285
ALL-CINF,0.00015066698177315524
TPL-ISRG,0.00015155922607081526
RSG-HUBB,0.00015244626395696304
EFX-DOV,0.00015295879541085553
PNC-CINF,0.00015362855933879308
HD-WAT,0.00015471498415165974
KDP-NEE,0.0001560012989761305
EQIX-TDY,0.00015629377492619952
NDAQ-LYV,0.00015664465857907707
NOC-CI,0.00015719901237739534
PH-WSM,0.00015756499852553126
WTW-TYL,0.00015826483046344365
GOOG-MPWR,0.0001589278810178829
GOOG-SHW,0.0001604150172072007
BRO-HUBB,0.0001627050644974634
RSG-ETN,0.0001631474974036861
JNJ-DTE,0.00016358157779780964
SHW-AON,0.00016446404790979336
MTD-ACN,0.00016457896308620721
BRK.B-EMR,0.00016481837110441993
EQIX-NEE,0.00016579229478315546
A-TMO,0.00016607159813083664
DLTR-GPC,0.00016628044829059064
AZO-RJF,0.00017045699179471334
TSLA-QCOM,0.00017120829517366552
WST-TMO,0.00017225924664238912
TROW-CZR,0.0001735750998528154
TER-CRL,0.00017608222269662572
MSFT-CPRT,0.00017680008176201772
FDS-NDSN,0.00017858847671008602
MCHP-ACN,0.00017916071740842096
APD-LHX,0.00017956224799311153
GOOGL-HCA,0.0001803835084931122
WSM-KLAC,0.00018101875853633194
MLM-VRTX,0.00018153071239420833
PH-RSG,0.00018370653289347485
A-ACN,0.00018414330011868528
WRB-VRTX,0.0001842592753174877
AJG-GWW,0.00018466933822898235
MPWR-WRB,0.00018578442490186422
WEC-GL,0.00018618434307874352
SHW-ROP,0.00018749270498269574
TT-PH,0.00018807495613962368
SYY-DPZ,0.00018978279892805728
GOOGL-ERIE,0.0001898861240379034
USB-UDR,0.00019002329737359512
RSG-WRB,0.00019031998771698846
RSG-AFL,0.0001908491759008585
PPG-CMCSA,0.00019398612863085382
EQIX-MCHP,0.00019416898162499138
UPS-ALB,0.00019657945079565723
APD-ROK,0.0001973297324297521
SBUX-MKC,0.00019812197204376134
CSX-DPZ,0.000198851779005697
PNC-LHX,0.00020000195505558046
MCHP-NDSN,0.00020212767091911833
HD-ROP,0.00020250942978230216
FICO-PGR,0.00020339801429027334
DTE-HON,0.00020534292332194748
V-BR,0.0002053906258571151
MCK-ETN,0.00020567202732275325
TECH-CRL,0.00020984686323154245
ICE-PEG,0.00021225946283606327
TT-APO,0.00021449038369893765
LMT-APD,0.0002151739472068362
META-LII,0.0002151915730130617
V-PEG,0.00021536383016424243
SBUX-COO,0.00021594773427860916
MAR-WRB,0.00021598557391409485
AON-EFX,0.00021636760618294485
DXCM-EXPD,0.00021691867096566454
MPWR-RJF,0.00021763538765314774
APD-WAT,0.00021816425995073083
DXCM-DHR,0.0002182952311877256
SBUX-WEC,0.00021831092625048084
EFX-FDS,0.00022122587645620535
STE-WAT,0.00022200057058428162
MCHP-IEX,0.00022256616072975546
ADP-ADI,0.00022322561253690726
TYL-DPZ,0.00022349026979921323
GOOGL-FAST,0.00022558472528197608
PKG-AMGN,0.0002283600516963137
ROK-ROL,0.00022892352012473686
WAT-LOW,0.00022899636520375225
NDAQ-WRB,0.00022929099319384956
NOC-ATO,0.00023058265174748238
DXCM-ADBE,0.00023145645997523257
PNC-DTE,0.00023178898657348827
MSFT-PGR,0.000234000648711375
STE-FDS,0.00023482783620353334
PEG-AIZ,0.00023566891822057783
HD-AIZ,0.00023613908020301622
NVR-SYK,0.00023627573992708706
EQIX-NSC,0.0002365462518450661
ERIE-SNPS,0.00023711507428349226
AFL-PANW,0.00023726500241778246
A-POOL,0.0002390126985148993
KMX-NKE,0.0002404138352209943
MPWR-PGR,0.0002405910991292944
CMI-DVA,0.00024549140722792995
TMO-ACN,0.00024718513611465137
EXPD-HOLX,0.0002500500094291597
AFL-DECK,0.00025100674168385736
BRK.B-ERIE,0.00025246363825602325
A-TER,0.0002525888581431526
SHW-SPGI,0.0002544302092956581
V-ROL,0.0002567970702319311
CINF-TYL,0.00025717515065178196
DHI-ERIE,0.0002580638418931302
WM-RJF,0.00025925862199397017
CHD-WAT,0.0002603691704741816
ICE-ROL,0.000262534089378319
MKC-BALL,0.00026315481636331374
MTD-NEE,0.00026538348300921433
SHW-STE,0.0002659127010883967
ITW-AMGN,0.00026601767607525563
POOL-TECH,0.0002682500605417949
TRV-PKG,0.000268592705581514
VMC-ERIE,0.00026916902297209985
LRCX-SNPS,0.0002702020647793002
HON-UNP,0.0002725236266368024
AMP-MPWR,0.000272541895680535
COR-RJF,0.0002743926437713485
EQIX-AME,0.00027481524352883304
EFX-HON,0.0002751657458557124
GOOGL-MLM,0.0002763934489688805
AMZN-ERIE,0.0002780593704891023
VRSN-TDY,0.00027895724526592295
JNJ-LNT,0.00028032766746243875
PANW-KLAC,0.0002832233138701758
PNC-DPZ,0.00028359659619351096
